"(0.25, 0.3)"
"(0.5720000000000001, 0.76)"
"(0.8099999999999999, 0.76)"
"(0.06727272727272728, 0.5650000000000001)"
"(0.34, 0.27)"
"(0.11481934731934731, 0.6357692307692309)"
"(0.38061224489795925, 0.6383673469387755)"
"(0.24895833333333334, 0.5541666666666667)"
"(0.27499999999999997, 0.47500000000000003)"
"(0.09341269841269839, 0.5718253968253968)"
"(0.3983333333333333, 0.5866666666666667)"
"(-0.15625, 0.75)"
"(0.27386363636363636, 0.39602272727272725)"
"(0.35574074074074075, 0.5677777777777778)"
"(0.04038461538461539, 0.31025641025641026)"
"(0.023166666666666676, 0.4012777777777778)"
"(0.31875000000000003, 0.59375)"
"(0.2833333333333333, 0.45)"
"(0.12111111111111113, 0.6333333333333333)"
"(0.3, 0.6071428571428571)"
"(0.1375, 0.825)"
"(0.24545454545454548, 0.6749999999999999)"
"(0.5199999999999999, 0.6199999999999999)"
"(0.22642045454545456, 0.6120265151515151)"
"(0.007539682539682533, 0.5948412698412698)"
"(0.34920634920634924, 0.4150793650793651)"
"(0.4428571428571429, 0.7178571428571429)"
"(0.5208333333333334, 0.5333333333333333)"
"(0.267027972027972, 0.43419580419580417)"
"(0.9, 0.9)"
"(0.46416666666666667, 0.64)"
"(0.5050000000000001, 0.31999999999999995)"
"(-0.10009920634920633, 0.5370039682539683)"
"(0.4433884297520661, 0.49504132231404957)"
"(0.45999999999999996, 0.54)"
"(0.75, 0.88125)"
"(0.26906862745098037, 0.4088235294117647)"
"(0.4097159090909091, 0.58375)"
"(0.2934659090909091, 0.41363636363636364)"
"(0.11499999999999999, 0.635)"
"(0.6, 0.55)"
"(0.19374999999999998, 0.275)"
"(0.37976190476190474, 0.6928571428571428)"
"(0.2357142857142857, 0.5142857142857142)"
"(0.4361111111111111, 0.6805555555555555)"
"(0.44090909090909086, 0.5818181818181819)"
"(0.45, 0.4625)"
"(0.6416666666666667, 0.7000000000000001)"
"(0.5037037037037037, 0.4740740740740741)"
"(0.6583333333333333, 0.6583333333333333)"
"(0.48775510204081635, 0.6183673469387755)"
"(0.25, 0.48124999999999996)"
"(0.9166666666666666, 0.7333333333333333)"
"(0.6, 0.53)"
"(0.20624999999999996, 0.3)"
"(0.21904761904761907, 0.6904761904761906)"
"(0.18, 0.41000000000000003)"
"(0.4458333333333333, 0.6083333333333334)"
"(0.13333333333333333, 0.19999999999999998)"
"(0.3305555555555555, 0.6285714285714286)"
"(0.30625, 0.875)"
"(0.725, 0.8375)"
"(0.05110544217687075, 0.489625850340136)"
"(0.2538095238095238, 0.6136507936507936)"
"(0.4375, 0.4625)"
"(0.3666666666666667, 0.5166666666666667)"
"(0.675, 0.605)"
"(0.55, 0.2)"
"(0.6685606060606061, 0.6840909090909091)"
"(0.625, 0.75)"
"(0.5114583333333332, 0.5416666666666666)"
"(0.17857142857142858, 0.5142857142857143)"
"(0.15, 0.325)"
"(0.25625, 0.671875)"
"(0.2630050505050505, 0.6452020202020202)"
"(0.42110389610389604, 0.5048701298701299)"
"(0.6125, 0.2833333333333333)"
"(0.625, 0.6875)"
"(0.1607142857142857, 0.7180059523809523)"
"(0.3666666666666667, 0.43333333333333335)"
"(0.325, 0.5666666666666667)"
"(0.037500000000000006, 0.4)"
"(0.7333333333333334, 0.7999999999999999)"
"(0.5, 0.7333333333333333)"
"(0.2729166666666667, 0.6416666666666667)"
"(0.04285714285714285, 0.5075396825396826)"
"(0.08583333333333334, 0.45999999999999996)"
"(0.3985119047619048, 0.6172619047619048)"
"(0.37142857142857144, 0.44285714285714284)"
"(0.3314935064935065, 0.65)"
"(0.38875000000000004, 0.61)"
"(0.3326666666666667, 0.7177777777777777)"
"(0.3125, 0.46875)"
"(0.2636363636363636, 0.4871212121212121)"
"(0.125, 0.48)"
"(0.11709183673469388, 0.6038265306122449)"
"(0.36, 0.5700000000000001)"
"(0.7666666666666666, 0.75)"
"(0.425, 0.43125)"
"(0.58, 0.6400000000000001)"
"(0.5, 0.5)"
"(-0.010999999999999973, 0.5933333333333334)"
"(0.3946428571428572, 0.5964285714285715)"
"(0.35634920634920636, 0.4984126984126984)"
"(0.37083333333333335, 0.6000000000000001)"
"(0.33549999999999996, 0.602)"
"(0.24111607142857147, 0.6146626984126985)"
"(0.4277777777777778, 0.7388888888888889)"
"(0.21250000000000002, 0.525)"
"(0.2538265306122449, 0.5387755102040817)"
"(0.3821428571428572, 0.6214285714285713)"
"(0.43, 0.62)"
"(0.31022727272727274, 0.4227272727272728)"
"(0.17148148148148146, 0.5866666666666667)"
"(0.38472222222222224, 0.4997222222222222)"
"(0.0788961038961039, 0.48149350649350653)"
"(0.31666666666666665, 0.5541666666666667)"
"(0.45240740740740737, 0.6409259259259259)"
"(0.27266899766899766, 0.4375291375291375)"
"(0.5, 0.5166666666666667)"
"(0.41423076923076924, 0.6215384615384614)"
"(0.495, 0.6)"
"(0.18112745098039215, 0.45490196078431383)"
"(0.10000000000000002, 0.7833333333333333)"
"(0.30000000000000004, 0.5125)"
"(0.3, 0.6)"
"(0.65, 0.65)"
"(0.4, 0.5)"
"(0.0, 0.0)"
"(0.5666666666666667, 0.46666666666666673)"
"(0.6933333333333334, 0.7833333333333333)"
"(0.22708333333333333, 0.5750000000000001)"
"(-0.008333333333333333, 0.13333333333333333)"
"(0.08466666666666671, 0.6513333333333332)"
"(0.14358974358974358, 0.47307692307692306)"
"(-0.09285714285714285, 0.7130952380952381)"
"(0.2538461538461539, 0.48974358974358984)"
"(-0.056249999999999994, 0.6923611111111112)"
"(0.16136363636363635, 0.4238906926406926)"
"(-0.14027777777777778, 0.6444444444444445)"
"(0.5, 0.55)"
"(0.0, 0.3)"
"(0.6, 1.0)"
"(0.534375, 0.6583333333333333)"
"(0.38, 0.48)"
"(0.25, 0.75)"
"(0.48750000000000004, 0.5875)"
"(0.3, 0.4333333333333333)"
"(0.2659090909090909, 0.75)"
"(0.325, 0.43333333333333335)"
"(0.0, 0.0)"
"(0.22499999999999998, 0.325)"
"(0.06944444444444443, 0.34722222222222215)"
"(0.3895833333333333, 0.8729166666666666)"
"(0.13333333333333333, 0.43333333333333335)"
"(0.24545454545454545, 0.7015151515151515)"
"(0.16, 0.51)"
"(0.7000000000000001, 0.6)"
"(0.5, 0.61875)"
"(-0.105, 0.8666666666666667)"
"(0.0, 0.115)"
"(0.35, 0.37)"
"(0.5832727272727274, 0.6609090909090909)"
"(0.05357142857142857, 0.35714285714285715)"
"(0.0, 0.6)"
"(0.0, 0.55)"
"(-0.03958333333333334, 0.45625)"
"(0.0007936507936507908, 0.5055555555555556)"
"(0.16666666666666666, 0.5833333333333334)"
"(0.0, 0.0)"
"(0.5875, 0.45999999999999996)"
"(0.18, 0.3)"
"(0.2715238095238095, 0.527047619047619)"
"(0.5, 0.6)"
"(0.375, 0.5)"
"(0.4125, 0.475)"
"(0.175, 0.6166666666666667)"
"(0.2833333333333333, 0.30000000000000004)"
"(0.050000000000000044, 0.8583333333333334)"
"(0.3157142857142857, 0.38142857142857145)"
"(0.7750000000000001, 0.825)"
"(0.6, 0.7333333333333334)"
"(0.275, 0.825)"
"(0.8, 0.75)"
"(0.4, 0.375)"
"(0.4, 0.55)"
"(0.5444444444444445, 0.5916666666666667)"
"(0.7166666666666667, 0.5666666666666667)"
"(0.35654761904761906, 0.6089285714285714)"
"(0.475, 0.675)"
"(0.5, 0.6666666666666667)"
"(0.7, 0.8)"
"(-0.25, 0.45)"
"(0.20000000000000004, 0.95)"
"(0.35, 0.44999999999999996)"
"(0.6166666666666666, 0.7129629629629629)"
"(0.5533333333333333, 0.6766666666666667)"
"(0.7, 0.6000000000000001)"
"(0.7666666666666666, 0.5166666666666667)"
"(0.1688888888888889, 0.2777777777777778)"
"(1.0, 0.3)"
"(0.2866666666666667, 0.6333333333333333)"
"(0.13863636363636364, 0.6648989898989899)"
"(0.1710678210678211, 0.4742321170892599)"
"(0.06809523809523811, 0.3914285714285714)"
"(0.3333333333333333, 0.16666666666666666)"
"(0.2727272727272727, 0.6893939393939393)"
"(0.5, 0.6)"
"(0.05925925925925927, 0.3342592592592593)"
"(0.2333333333333333, 0.43333333333333335)"
"(0.13333333333333336, 0.7333333333333334)"
"(0.54375, 0.6875)"
"(-0.15, 0.55)"
"(0.8, 0.75)"
"(0.0, 0.0)"
"(0.2, 0.3)"
"(0.375, 0.75)"
"(0.4666666666666666, 0.7166666666666667)"
"(0.10400000000000001, 0.851)"
"(0.575, 0.6375)"
"(0.40780303030303033, 0.6362878787878787)"
"(0.10757575757575756, 0.36666666666666664)"
"(0.32, 0.7000000000000001)"
"(0.40833333333333327, 0.7694444444444445)"
"(0.59625, 0.5950000000000001)"
"(0.13333333333333333, 0.44166666666666665)"
"(0.2333333333333333, 0.7333333333333334)"
"(0.11666666666666665, 0.3166666666666667)"
"(0.25555555555555554, 0.45694444444444443)"
"(0.3, 0.2)"
"(0.0, 0.625)"
"(0.39, 0.26)"
"(0.5, 0.7)"
"(0.0, 0.0)"
"(0.2, 0.3)"
"(0.0, 0.0)"
"(1.0, 0.3)"
"(0.0, 0.0)"
"(0.3, 0.85)"
"(0.4905454545454546, 0.7218181818181818)"
"(0.3833333333333333, 0.5333333333333333)"
"(0.28106060606060607, 0.6090909090909091)"
"(0.5, 0.7833333333333333)"
"(-0.013888888888888895, 0.6435185185185185)"
"(0.4000000000000001, 0.6233333333333333)"
"(0.30972222222222223, 0.623611111111111)"
"(0.3083333333333333, 0.65)"
"(0.0, 0.0)"
"(-0.39, 0.65)"
"(0.35, 0.4766666666666667)"
"(0.4166666666666667, 0.5166666666666667)"
"(0.65, 0.625)"
"(0.35, 0.48)"
"(0.25, 0.5833333333333334)"
"(0.0, 0.0)"
"(0.2333333333333333, 0.5750000000000001)"
"(0.475, 0.35)"
"(0.175, 0.45)"
"(0.225, 0.6)"
"(-0.125, 0.9444444444444444)"
"(0.5, 0.5)"
"(0.30874999999999997, 0.35375)"
"(0.5583333333333333, 0.47500000000000003)"
"(0.4785714285714286, 0.5142857142857143)"
"(0.18888888888888888, 0.5222222222222221)"
"(-0.018750000000000003, 0.45)"
"(0.8, 0.75)"
"(0.1720328282828283, 0.5319444444444444)"
"(0.0, 0.25)"
"(0.6020833333333333, 0.5791666666666666)"
"(0.4392676767676768, 0.6714646464646465)"
"(0.7, 0.6000000000000001)"
"(0.0, 0.0)"
"(0.5, 0.5)"
"(0.85, 0.45000000000000007)"
"(0.2, 0.5399999999999999)"
"(0.5, 0.5)"
"(0.3625, 0.35)"
"(0.18055555555555555, 0.4305555555555556)"
"(0.1666666666666667, 0.4444444444444445)"
"(0.06787878787878787, 0.5842424242424242)"
"(0.39999999999999997, 0.5333333333333333)"
"(0.16018518518518515, 0.425)"
"(0.2, 0.6666666666666667)"
"(-0.1337121212121212, 0.35)"
"(0.0824074074074074, 0.2814814814814815)"
"(0.08, 0.31999999999999995)"
"(0.5, 0.5)"
"(0.38, 0.5)"
"(0.0, 0.0)"
"(0.5, 1.0)"
"(0.37857142857142856, 0.5642857142857143)"
"(0.4600000000000001, 0.55)"
"(0.43000000000000005, 0.6)"
"(0.35, 0.525)"
"(0.21666666666666667, 0.48333333333333334)"
"(0.20953423120089787, 0.4500617283950617)"
"(0.023660714285714306, 0.22440476190476188)"
"(0.3, 0.35)"
"(-0.14791666666666664, 0.43125)"
"(0.4041666666666667, 0.6041666666666667)"
"(0.0, 0.0)"
"(0.5, 0.5)"
"(0.0, 0.0)"
"(0.3202020202020202, 0.5097222222222222)"
"(0.5, 0.6)"
"(1.0, 0.75)"
"(0.20833333333333334, 0.5333333333333333)"
"(-0.1125, 0.76)"
"(0.16944444444444443, 0.6805555555555555)"
"(0.5, 0.5333333333333333)"
"(0.0, 0.0)"
"(0.35, 0.30000000000000004)"
"(0.25, 0.3625)"
"(0.19642857142857145, 0.4914285714285714)"
"(0.25, 0.52)"
"(0.0, 1.0)"
"(0.375, 0.5)"
"(0.03409090909090909, 0.5)"
"(0.25, 0.5)"
"(-0.6, 0.9)"
"(0.5, 0.6)"
"(0.7000000000000001, 0.5333333333333333)"
"(-0.3, 0.6)"
"(0.12388888888888888, 0.3527777777777778)"
"(0.0, 0.2833333333333333)"
"(0.2357371794871795, 0.4487891737891738)"
"(0.31666666666666665, 0.5666666666666667)"
"(0.27999999999999997, 0.3933333333333333)"
"(0.0, 0.0)"
"(0.11949300699300698, 0.48312937062937067)"
"(0.0, 0.0)"
"(1.0, 0.9)"
"(0.03958333333333336, 0.7379166666666667)"
"(0.10486111111111109, 0.3888888888888889)"
"(0.35375000000000006, 0.8208333333333334)"
"(0.325, 0.36875)"
"(0.2875, 0.375)"
"(0.5666666666666667, 0.7999999999999999)"
"(0.0, 0.0)"
"(-0.125, 0.6)"
"(0.65, 0.625)"
"(0.3, 0.5)"
"(0.7125, 0.675)"
"(0.3391005291005291, 0.5789947089947091)"
"(0.1978937728937729, 0.3861721611721612)"
"(0.4011111111111111, 0.6533333333333334)"
"(0.2681754519989814, 0.6759676597911893)"
"(0.6, 0.55)"
"(0.7, 0.6000000000000001)"
"(0.0, 0.0)"
"(0.5681818181818181, 0.7272727272727273)"
"(-0.3499999999999999, 0.3333333333333333)"
"(0.75, 0.7625)"
"(0.5, 0.5)"
"(0.0, 0.0)"
"(0.43333333333333335, 0.8333333333333334)"
"(0.48333333333333334, 0.7000000000000001)"
"(1.0, 0.3)"
"(0.5, 0.6)"
"(-0.1, 0.05)"
"(0.36, 0.605)"
"(0.11333333333333334, 0.5900000000000001)"
"(0.2606060606060606, 0.45)"
"(0.5625, 0.65)"
"(1.0, 0.3)"
"(0.625, 0.6)"
"(0.3333333333333333, 0.3333333333333333)"
"(0.16, 0.6)"
"(0.5285714285714286, 0.5357142857142857)"
"(-0.04, 0.47333333333333333)"
"(0.2888888888888889, 0.37777777777777777)"
"(0.2333333333333333, 0.6666666666666666)"
"(-0.05436507936507936, 0.5313492063492063)"
"(0.2534722222222222, 0.5791666666666666)"
"(-0.25, 0.25)"
"(0.5454545454545454, 0.6515151515151515)"
"(0.27961538461538465, 0.4242307692307692)"
"(0.10333333333333332, 0.2566666666666667)"
"(-0.06527777777777778, 0.6673611111111111)"
"(0.52, 1.0)"
"(0.49848484848484853, 0.6696969696969696)"
"(0.2, 0.3)"
"(0.4883333333333334, 0.7050000000000001)"
"(-0.07692307692307693, 0.15384615384615385)"
"(0.52, 1.0)"
"(0.4375, 0.2375)"
"(0.0, 0.0)"
"(-0.35, 0.6000000000000001)"
"(1.0, 0.3)"
"(0.0, 0.0)"
"(0.34545454545454546, 0.6515151515151515)"
"(0.13666666666666666, 0.26)"
"(0.5, 0.6)"
"(0.0, 0.0)"
"(-0.1875, 0.1)"
"(1.0, 1.0)"
"(0.1, 0.1)"
"(-0.075, 0.05)"
"(0.0, 0.0)"
"(0.0, 0.0)"
"(0.125, 0.16666666666666666)"
"(0.0, 0.0)"
"(0.8, 0.75)"
"(0.16666666666666666, 0.39999999999999997)"
"(0.09930555555555554, 0.2673611111111111)"
"(0.02200000000000002, 0.32199999999999995)"
"(0.08263888888888889, 0.5833333333333334)"
"(0.25, 0.55)"
"(-0.12291666666666667, 0.4354166666666667)"
"(0.1631746031746032, 0.5039682539682541)"
"(0.2128787878787879, 0.6643181818181817)"
"(0.08833333333333335, 0.595)"
"(0.34166666666666673, 0.39166666666666666)"
"(0.3461538461538462, 0.576923076923077)"
"(0.0, 0.0)"
"(-0.1, 0.1)"
"(0.375, 0.625)"
"(-0.21666666666666667, 0.65)"
"(-0.0625, 0.25)"
"(-0.1875, 0.7)"
"(0.30727272727272725, 0.6799999999999999)"
"(0.25, 0.5)"
"(0.225, 0.5416666666666666)"
"(0.1, 0.3107142857142857)"
"(0.7, 0.6000000000000001)"
"(0.0, 0.0)"
"(-0.5777777777777778, 0.6444444444444445)"
"(0.0, 0.5)"
"(1.0, 0.3)"
"(0.26666666666666666, 0.68)"
"(0.375, 0.75)"
"(0.4875, 0.63125)"
"(0.16, 0.5399999999999999)"
"(0.4, 0.675)"
"(0.2893939393939394, 0.33409090909090916)"
"(0.40583333333333343, 0.5191666666666667)"
"(0.3125, 0.55)"
"(0.22291280148423004, 0.5230983302411873)"
"(0.5069444444444444, 0.4861111111111111)"
"(0.4375, 0.55)"
"(0.14893939393939393, 0.6131313131313131)"
"(0.15714285714285717, 0.31428571428571433)"
"(0.015625, 0.4625)"
"(0.42500000000000004, 0.445)"
"(0.8, 0.75)"
"(0.19, 0.36333333333333334)"
"(-0.01666666666666668, 0.4258333333333334)"
"(-0.05, 0.12142857142857143)"
"(0.45656565656565656, 0.6944444444444445)"
"(0.09285714285714285, 0.3821428571428571)"
"(0.4166666666666667, 0.8666666666666667)"
"(0.033939393939393936, 0.22424242424242427)"
"(0.275, 0.475)"
"(0.23958333333333331, 0.29374999999999996)"
"(0.3181818181818182, 0.5)"
"(0.54, 0.6666666666666667)"
"(0.75, 0.4)"
"(0.3125, 0.65)"
"(0.5, 0.375)"
"(0.625, 0.6)"
"(0.0, 0.0)"
"(-0.2916666666666667, 0.5416666666666666)"
"(1.0, 0.3)"
"(0.6666666666666666, 0.3666666666666667)"
"(0.0, 0.0)"
"(0.25, 0.75)"
"(0.26666666666666666, 0.6666666666666666)"
"(0.2, 0.2625)"
"(0.43333333333333335, 0.8333333333333334)"
"(0.45, 0.5166666666666667)"
"(0.0, 0.0)"
"(1.0, 0.3)"
"(0.5499999999999999, 0.5333333333333333)"
"(0.3704545454545454, 0.75)"
"(0.07500000000000001, 0.525)"
"(0.6000000000000001, 0.9)"
"(0.5000000000000001, 0.6166666666666667)"
"(0.175, 0.7)"
"(0.19444444444444442, 0.7977777777777777)"
"(0.3125, 0.6375000000000001)"
"(0.26666666666666666, 0.45555555555555555)"
"(0.4, 0.35)"
"(0.3806818181818182, 0.55)"
"(0.1, 0.1)"
"(1.0, 0.3)"
"(0.625, 0.6)"
"(0.425, 0.5833333333333334)"
"(0.15, 0.65)"
"(0.16666666666666666, 0.4444444444444445)"
"(0.0, 0.0)"
"(-0.05, 0.1)"
"(0.12857142857142856, 0.31785714285714284)"
"(-0.00833333333333334, 0.425)"
"(0.06666666666666667, 0.3833333333333333)"
"(-0.11249999999999999, 0.2375)"
"(0.12516233766233767, 0.4775974025974026)"
"(0.08977272727272727, 0.5133333333333334)"
"(0.11944444444444444, 0.37654320987654316)"
"(0.1484375, 0.6125)"
"(0.035648148148148144, 0.3518518518518519)"
"(0.04722222222222222, 0.5)"
"(0.0, 0.1)"
"(0.16770833333333332, 0.475)"
"(0.135, 0.5549999999999999)"
"(0.21439393939393936, 0.5361111111111111)"
"(0.06666666666666667, 0.15)"
"(0.5, 0.8333333333333334)"
"(0.24062499999999998, 0.38571428571428573)"
"(0.3522222222222222, 0.5900000000000001)"
"(0.2130411255411256, 0.6356926406926406)"
"(0.1875, 0.4875)"
"(0.4666666666666666, 0.4361111111111111)"
"(0.2, 0.2)"
"(0.2604166666666667, 0.41785714285714287)"
"(0.40285714285714286, 0.7107142857142857)"
"(0.41711309523809526, 0.5199404761904761)"
"(0.15, 0.484375)"
"(-0.45, 0.85)"
"(0.47187499999999993, 0.5283333333333333)"
"(0.2375, 0.4708333333333333)"
"(0.5, 0.55)"
"(0.13375, 0.53)"
"(0.14583333333333337, 0.4458333333333333)"
"(0.35000000000000003, 0.39999999999999997)"
"(0.20833333333333334, 0.6499999999999999)"
"(0.2384615384615385, 0.48846153846153845)"
"(0.14375, 0.5458333333333334)"
"(0.1, 0.30000000000000004)"
"(0.34545454545454546, 0.5515151515151515)"
"(0.31875, 0.521875)"
"(0.17261904761904762, 0.5685714285714286)"
"(0.5, 0.6)"
"(0.3816919191919192, 0.7121212121212122)"
"(0.21428571428571427, 0.4785714285714286)"
"(0.5, 0.6)"
"(0.5, 0.6)"
"(0.6875, 0.4)"
"(-0.024999999999999967, 0.905)"
"(0.29, 0.53)"
"(0.45, 0.5)"
"(0.41500000000000004, 0.5149999999999999)"
"(0.13500000000000004, 0.5599999999999999)"
"(0.65, 0.7375)"
"(0.65, 0.625)"
"(0.75, 0.4)"
"(0.165, 0.635)"
"(0.33999999999999997, 0.63)"
"(0.0, 0.0)"
"(0.1, 0.1)"
"(-0.6, 0.9)"
"(0.2, 0.2)"
"(0.2, 0.3)"
"(0.5, 0.5)"
"(0.0, 0.0)"
"(0.3333333333333333, 0.7000000000000001)"
"(0.3166666666666667, 0.7166666666666668)"
"(0.475, 0.5)"
"(0.275, 0.45499999999999996)"
"(0.0, 0.06666666666666667)"
"(0.4375, 0.65)"
"(0.0, 0.0)"
"(0.8, 0.75)"
"(0.30000000000000004, 0.95)"
"(0.19583333333333333, 0.5773148148148147)"
"(0.134375, 0.53125)"
"(0.2545454545454545, 0.6209207459207458)"
"(0.18055555555555555, 0.6820987654320987)"
"(0.11041666666666668, 0.3975)"
"(0.3777935606060606, 0.6187499999999999)"
"(0.26470779220779217, 0.4542857142857143)"
"(0.42916666666666664, 0.6166666666666666)"
"(0.14285714285714285, 0.2714285714285714)"
"(0.0009259259259259164, 0.4601851851851852)"
"(0.5583333333333333, 0.7916666666666666)"
"(0.28750000000000003, 0.5798611111111112)"
"(0.14802188552188553, 0.46902356902356906)"
"(0.14914772727272724, 0.5046875)"
"(-0.05, 0.1)"
"(0.07465277777777778, 0.5055555555555555)"
"(-0.1, 0.3)"
"(0.15625, 0.41875)"
"(0.10714285714285714, 0.3392857142857143)"
"(0.23333333333333336, 0.31666666666666665)"
"(0.1, 0.2)"
"(0.8, 0.75)"
"(0.0, 0.0)"
"(-0.25, 0.5)"
"(-0.16666666666666666, 0.5)"
"(0.0, 0.0)"
"(0.2142857142857143, 0.3214285714285714)"
"(0.0, 0.0)"
"(0.05, 0.55)"
"(0.25, 1.0)"
"(0.325, 0.5916666666666667)"
"(0.5, 0.45)"
"(-0.5, 0.5)"
"(0.0, 0.0)"
"(0.65, 0.625)"
"(0.20277777777777778, 0.5746913580246914)"
"(0.0, 1.0)"
"(0.4, 0.645)"
"(0.23041666666666671, 0.4298992673992674)"
"(0.0, 0.0)"
"(0.3393939393939394, 0.5120320855614973)"
"(0.21250000000000002, 0.4875)"
"(0.21458333333333335, 0.36979166666666674)"
"(0.28196022727272724, 0.6716382575757576)"
"(-0.15000000000000002, 0.575)"
"(0.19616161616161615, 0.4886868686868687)"
"(0.0, 0.0)"
"(5.551115123125783e-17, 0.6333333333333333)"
"(0.04999999999999999, 0.625)"
"(1.0, 0.3)"
"(0.2954112554112554, 0.5532900432900433)"
